id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
0;-255;-37;0;1;1
1;-163;-47;0;1;1
2;-194;-63;0;1;1
3;-143;-103;0;1;1
4;-154;-108;0;1;1
5;-85;-116;0;1;1
6;-223;-124;0;1;1
7;-123;-142;0;1;1
8;-36;-151;0;1;1
9;-128;-164;0;1;1
10;-295;-176;0;1;1
11;-178;-198;0;1;1
12;-215;-201;0;1;1
13;-78;-232;0;1;1
14;-40;-234;0;1;1
15;-292;-122;3;1;0
16;-242;-294;3;1;0
17;-268;-67;4;1;0
18;-121;-122;4;1;0
19;-19;-262;4;1;0
20;-204;-33;5;1;0
21;-141;-60;5;1;0
22;-168;-102;5;1;0
23;-310;-118;5;1;0
24;-106;-141;5;1;0
25;-66;-250;5;1;0
26;-228;-293;5;1;0
27;-287;-192;6;1;0
28;-305;-274;6;1;0
29;-188;-29;7;1;0
30;-126;-61;7;1;0
31;-9;-108;7;1;0
32;-116;-122;7;1;0
33;-304;-148;7;1;0
34;-138;-225;7;1;0
35;-97;-230;7;1;0
36;-122;-245;7;1;0
37;-93;-246;7;1;0
38;-159;-287;7;1;0
39;-276;-289;7;1;0
40;-177;-293;7;1;0
41;-135;-42;8;1;0
42;-88;-47;8;1;0
43;-59;-118;8;1;0
44;-82;-86;9;1;0
45;-19;-125;9;1;0
46;-42;-208;9;1;0
47;-123;-210;9;1;0
48;-222;-216;9;1;0
49;-72;-264;9;1;0
50;-77;-291;9;1;0
51;-148;-202;11;1;0
52;-20;-289;11;1;0
53;-10;-36;12;1;0
54;-291;-38;12;1;0
55;-149;-87;12;1;0
56;-18;-216;12;1;0
57;-49;-291;12;1;0
58;-124;-292;12;1;0
59;-62;-64;13;1;0
60;-310;-187;13;1;0
61;-278;-230;13;1;0
62;-52;-55;14;1;0
63;-314;-136;14;1;0
64;-52;-170;14;1;0
65;-303;-256;14;1;0
66;-241;-33;15;1;0
67;-178;-126;16;1;0
68;-16;-128;17;1;0
69;-7;-144;17;1;0
70;-52;-49;18;1;0
71;-139;-147;18;1;0
72;-172;-218;18;1;0
73;-25;-292;18;1;0
74;-136;-292;18;1;0
75;-209;-292;18;1;0
76;-94;-80;19;1;0
77;-132;-128;19;1;0
78;-315;-169;19;1;0
79;-45;-213;19;1;0
80;-183;-127;20;1;0
81;-220;-135;20;1;0
82;-51;-89;21;1;0
83;-113;-138;21;1;0
84;-291;-204;21;1;0
85;-184;-144;23;1;0
86;-172;-186;23;1;0
87;-313;-197;24;1;0
88;-193;-270;24;1;0
89;-310;-291;25;1;0
90;-40;-292;25;1;0
91;-74;-31;26;1;0
92;-197;-40;26;1;0
93;-100;-32;27;1;0
94;-156;-118;28;1;0
95;-170;-293;28;1;0
96;-238;-258;29;1;0
97;-201;-142;30;1;0
98;-7;-216;32;1;0
99;-311;-274;32;1;0
100;-211;-291;32;1;0
101;-209;-79;34;1;0
102;-167;-72;36;1;0
103;-88;-91;36;1;0
104;-8;-154;37;1;0
105;-8;-245;38;1;0
106;-182;-30;39;1;0
107;-102;-149;39;1;0
108;-200;-185;39;1;0
109;-81;-32;40;1;0
110;-152;-126;40;1;0
111;-271;-166;41;1;0
112;-313;-262;41;1;0
113;-238;-221;42;1;0
114;-116;-75;43;1;0
115;-13;-184;43;1;0
116;-59;-292;43;1;0
117;-10;-90;44;1;0
118;-59;-94;44;1;0
119;-314;-197;44;1;0
120;-102;-223;44;1;0
121;-172;-283;44;1;0
122;-228;-28;45;1;0
123;-190;-188;45;1;0
124;-92;-157;46;1;0
125;-228;-162;46;1;0
126;-7;-147;47;1;0
127;-287;-227;47;1;0
128;-202;-97;48;1;0
129;-294;-123;49;1;0
130;-241;-157;49;1;0
131;-312;-233;49;1;0
132;-143;-293;49;1;0
133;-312;-285;50;1;0
134;-50;-286;51;1;0
135;-283;-156;52;1;0
136;-184;-171;52;1;0
137;-150;-282;52;1;0
138;-158;-51;53;1;0
139;-276;-65;53;1;0
